Раздел;Помещение;Наименование;Ед.;Кол-во;Цена ₽;Сумма ₽
Черновые работы;Гостиная-кухня;Стяжка и подготовка пола;м²;20,8;650;13520
Черновые работы;Гостиная-кухня;Штукатурка стен по маякам;м²;45,1;850;38335
Черновые работы;Гостиная-кухня;Потолок ГКЛ + окраска;м²;20,8;1100;22880
Черновые работы;Гостиная-кухня;Электромонтаж;точка;28;3500;98000
Чистовая отделка;Гостиная-кухня;Шпаклёвка и окраска стен (2 слоя);м²;45,1;900;40590
Чистовая отделка;Гостиная-кухня;Укладка напольного покрытия;м²;20,8;800;16640
Чистовая отделка;Гостиная-кухня;Монтаж плинтуса;м.п.;17,5;450;7875
Материалы;Гостиная-кухня;Краска (краска Little Greene «Slaked Lime», шёлково-матовая), 2 слоя;л;11,3;3900;43973
Материалы;Гостиная-кухня;Пол: инженерная доска, дуб натуральный, укладка «ёлка» (+5%);м²;21,8;5200;113568
Материалы;Гостиная-кухня;плинтус МДФ 80 мм, эмаль в цвет стен;м.п.;17,5;550;9625
Черновые работы;Спальня;Стяжка и подготовка пола;м²;12,2;650;7930
Черновые работы;Спальня;Штукатурка стен по маякам;м²;33,8;850;28730
Черновые работы;Спальня;Потолок ГКЛ + окраска;м²;12,2;1100;13420
Черновые работы;Спальня;Электромонтаж;точка;16;3500;56000
Чистовая отделка;Спальня;Шпаклёвка и окраска стен (2 слоя);м²;33,8;900;30420
Чистовая отделка;Спальня;Укладка напольного покрытия;м²;12,2;800;9760
Чистовая отделка;Спальня;Монтаж плинтуса;м.п.;13,1;450;5895
Материалы;Спальня;Краска (краска Little Greene «Slaked Lime», шёлково-матовая), 2 слоя;л;8,4;3900;32955
Материалы;Спальня;Пол: инженерная доска, дуб натуральный, укладка «ёлка» (+5%);м²;12,8;5200;66612
Материалы;Спальня;плинтус МДФ 80 мм, эмаль в цвет стен;м.п.;13,1;550;7205
Черновые работы;Детская;Стяжка и подготовка пола;м²;9,9;650;6435
Черновые работы;Детская;Штукатурка стен по маякам;м²;30,4;850;25840
Черновые работы;Детская;Потолок ГКЛ + окраска;м²;9,9;1100;10890
Черновые работы;Детская;Электромонтаж;точка;15;3500;52500
Чистовая отделка;Детская;Шпаклёвка и окраска стен (2 слоя);м²;30,4;900;27360
Чистовая отделка;Детская;Укладка напольного покрытия;м²;9,9;800;7920
Чистовая отделка;Детская;Монтаж плинтуса;м.п.;11,8;450;5310
Материалы;Детская;Краска (краска Little Greene «Slaked Lime», шёлково-матовая), 2 слоя;л;7,6;3900;29640
Материалы;Детская;Пол: инженерная доска, дуб натуральный, укладка «ёлка» (+5%);м²;10,4;5200;54054
Материалы;Детская;плинтус МДФ 80 мм, эмаль в цвет стен;м.п.;11,8;550;6490
Черновые работы;Санузел;Стяжка и подготовка пола;м²;4;650;2600
Черновые работы;Санузел;Штукатурка стен по маякам;м²;20,2;850;17170
Черновые работы;Санузел;Потолок ГКЛ + окраска;м²;4;1100;4400
Черновые работы;Санузел;Электромонтаж;точка;10;3500;35000
Чистовая отделка;Санузел;Облицовка плиткой (стены/пол);м²;24,2;2000;48400
Материалы;Санузел;Плитка керамогранит (стены+пол, +10% подрезка);м²;26,6;2600;69212
Черновые работы;Прихожая;Стяжка и подготовка пола;м²;4,8;650;3120
Черновые работы;Прихожая;Штукатурка стен по маякам;м²;23;850;19550
Черновые работы;Прихожая;Потолок ГКЛ + окраска;м²;4,8;1100;5280
Черновые работы;Прихожая;Электромонтаж;точка;12;3500;42000
Чистовая отделка;Прихожая;Шпаклёвка и окраска стен (2 слоя);м²;23;900;20700
Чистовая отделка;Прихожая;Укладка напольного покрытия;м²;4,8;800;3840
Чистовая отделка;Прихожая;Монтаж плинтуса;м.п.;8,3;450;3735
Материалы;Прихожая;Краска (краска Little Greene «Slaked Lime», шёлково-матовая), 2 слоя;л;5,8;3900;22425
Материалы;Прихожая;Пол: инженерная доска, дуб натуральный, укладка «ёлка» (+5%);м²;5;5200;26208
Материалы;Прихожая;плинтус МДФ 80 мм, эмаль в цвет стен;м.п.;8,3;550;4565
Мебель и оборудование;—;Кухонный гарнитур;шт.;1;220000;220000
Мебель и оборудование;—;Ковёр;шт.;2;24000;48000
Мебель и оборудование;—;Обеденный стол + 4 стула;шт.;1;95000;95000
Мебель и оборудование;—;Диван;шт.;1;135000;135000
Мебель и оборудование;—;Журнальный стол;шт.;1;18000;18000
Мебель и оборудование;—;ТВ-зона;шт.;1;45000;45000
Мебель и оборудование;—;Кровать 1600×2000;шт.;1;70000;70000
Мебель и оборудование;—;Тумба;шт.;2;11000;22000
Мебель и оборудование;—;Шкаф h2400;шт.;2;85000;170000
Мебель и оборудование;—;Кровать 900×2000;шт.;1;38000;38000
Мебель и оборудование;—;Стол у окна;шт.;1;32000;32000
Мебель и оборудование;—;Ванна 1700×700;шт.;1;58000;58000
Мебель и оборудование;—;Унитаз;шт.;1;30000;30000
Мебель и оборудование;—;Раковина;шт.;1;27000;27000
Мебель и оборудование;—;Шкаф-гардероб;шт.;1;70000;70000
Мебель и оборудование;—;Банкетка;шт.;1;14000;14000
Освещение;—;Точечные светильники;шт.;48;2800;134400
Освещение;—;Подвесы/люстры;шт.;2;22000;44000
Освещение;—;Трек-системы со спотами;шт.;1;19000;19000
